field,cap_quantile,cap_value,rows_above_cap,share_above_cap,total_value_above_cap
freight_value,p95,45.12,5630,0.04997780736795384,147790.09
freight_value,p99,84.52,1124,0.00997780736795384,42901.850000000006
freight_value,p99.5,106.2251000000001,564,0.0050066577896138486,25603.193599999944
freight_to_price_ratio,p95,0.874702380952381,5632,0.049995561473590765,2718.902583715132
freight_to_price_ratio,p99,1.5494505494505493,1125,0.009986684420772303,882.0135708239156
freight_to_price_ratio,p99.5,1.9710740384615475,564,0.0050066577896138486,539.3700715212756
product_weight_g,p95,9750.0,5583,0.04956058588548602,31013834.0
product_weight_g,p99,18250.0,1117,0.00991566799822459,6773846.0
product_weight_g,p99.5,22900.0,561,0.004980026631158456,2851516.0
product_volume_cm3,p95,57731.849999999904,5632,0.049995561473590765,200676543.80000052
product_volume_cm3,p99,112284.12000000011,1127,0.010004438526409231,52625823.75999987
product_volume_cm3,p99.5,139277.0,560,0.004971149578339991,30539960.0
